"State","Bill Number","Name","Summary","Bill Progress","Last Action","Action Date"
"MD","HB1","Maryland Paint Stewardship","Requiring producers of architectural paint or a representative organization to submit a plan for the establishment of a Paint Stewardship Program to the Department of the Environment by July 1, 2025, and in accordance with certain requirements; requiring the Department to review and approve certain plans, including a certain assessment; prohibiting the sale of certain architectural paint beginning January 1, 2026 unless an approved Paint Stewardship Program has been implemented by certain producers; etc.","Crossed Over","Referred Education, Energy, and the Environment","02/26/2024"
"MD","HB2","Baltimore City - Property Taxes - Authority to Set a Special Rate for Vacant and Abandoned Property","AN ACT concerning Baltimore City - Property Taxes - Authority to Set a Special Rate for Vacant and Abandoned Property FOR the purpose of authorizing the Mayor and City Council of Baltimore City to set a special property tax rate for certain vacant and abandoned property; and generally relating to a special property tax rate for vacant and abandoned property. BY repealing and reenacting, with amendments, Article - Tax - Property Section 6-302 Annotated Code of Maryland (2019 Replacement Volume and 2023 Supplement)","In Committee","House Ways and Means Hearing (13:00:00 1/25/2024 )","01/25/2024"
"MD","HB3","Land Use - Expedited Development Review Processes for Affordable Housing - Requirements","AN ACT concerning Land Use - Expedited Development Review Processes for Affordable Housing - Requirements FOR the purpose of requiring local jurisdictions to establish and implement an expedited development review process for certain proposed affordable housing developments; establishing a good-faith waiver for local jurisdictions that cannot implement an expedited development review process; and generally relating to expedited development review processes for affordable housing developments. BY adding to Article - Land Use Section 7-105 Annotated Code of Maryland (2012 Volume and 2023 Supplement)","In Committee","House Environment and Transportation Hearing (14:00:00 1/30/2024 )","01/30/2024"
"MD","HB6","Public Safety - Law Enforcement - Quotas (Community-Oriented Policing Act)","AN ACT concerning Public Safety - Law Enforcement - Quotas (Community-Oriented Policing Act) FOR the purpose of altering a prohibition against using the number of arrests made, investigations conducted, citations issued, or warrants served or executed by a law enforcement officer as a criterion for the evaluation, compensation, discipline, promotion, demotion, dismissal, or transfer of the officer; prohibiting law enforcement agencies from requiring, suggesting, requesting, or directing certain actions by a law enforcement officer; and generally relating to law enforcement quotas. BY repealing and reenacting, without amendments, Article - Public Safety Section 3-504(a) Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Public Safety Section 3-504(b) Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","House Judiciary Hearing (13:00:00 1/23/2024 )","01/23/2024"
"MD","HB8","Maryland Police Training and Standards Commission - Police Officer Certification - Eligibility","AN ACT concerning Maryland Police Training and Standards Commission - Police Officer Certification - Eligibility FOR the purpose of altering the eligibility requirements for an individual to be certified by the Maryland Police Training and Standards Commission as a police officer to remove a certain requirement for an individual who is a permanent legal resident of the United States and an honorably discharged veteran of the United States armed forces; providing that an individual who is a permanent legal resident of the United States and an honorably discharged veteran or current member of the Army National Guard, the Air National Guard, or a reserve component of the United States armed forces is eligible to be certified as a police officer; and generally relating to police officer certification. BY repealing and reenacting, with amendments, Article - Public Safety Section 3-209 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","House Judiciary Hearing (13:00:00 1/23/2024 )","01/23/2024"
"MD","HB9","State Retirement and Pension System - Forfeiture of Benefits","AN ACT concerning State Retirement and Pension System - Forfeiture of Benefits FOR the purpose of establishing that a public employee is subject to forfeiture of benefits from the State Retirement and Pension System when the public employee is found guilty of, pleads guilty to, or enters a plea of nolo contendere to a qualifying crime; providing for the processes and procedures to implement a forfeiture of benefits; providing for the processes and procedures to reverse a forfeiture of benefits; and generally relating to the forfeiture of pension benefits. BY repealing and reenacting, with amendments, Article - State Personnel and Pensions Section 21-502(a)(3) Annotated Code of Maryland (2015 Replacement Volume and 2023 Supplement) BY adding to Article - State Personnel and Pensions Section 21-801 through 21-809 to be under the new subtitle “Subtitle 8. Forfeiture of Benefits” Annotated Code of Maryland (2015 Replacement Volume and 2023 Supplement)","In Committee","House Appropriations Hearing (14:00:00 1/23/2024 )","01/23/2024"
"MD","HB10","Criminal Injuries Compensation Board - Eligible Individuals and Direct Reimbursement for Mental Health Services","Altering which individuals are eligible to receive mental health counseling paid for by the Criminal Injuries Compensation Fund; requiring the Criminal Injuries Compensation Board to provide direct reimbursement to mental health professionals providing mental health services to a victim of a crime or a parent, a child, a sibling, a stepchild, or an intimate partner of a victim of a crime; and requiring the Board, in consultation with the Maryland Department of Health, to adopt regulations to implement the reimbursement program.","In Committee","Withdrawn by Sponsor","03/04/2024"
"MD","HB11","Workforce Development and Adult Learning - Leasing Training Program - Establishment","AN ACT concerning Workforce Development and Adult Learning - Leasing Training Program - Establishment FOR the purpose of establishing the Leasing Training Program in the Maryland Department of Labor to train, prepare, and connect job seekers with careers in the residential rental housing industry; requiring the Division of Workforce Development and Adult Learning to administer the Program and award grants to certain designated partnerships; establishing the Leasing Training Program Fund as a special, nonlapsing fund; requiring interest earnings of the Fund to be credited to the Fund; and generally relating to the Leasing Training Program. BY adding to Article - Labor and Employment Section 11-1601 through 11-1606 to be under the new subtitle “Subtitle 16. Leasing Training Program” Annotated Code of Maryland (2016 Replacement Volume and 2023 Supplement) BY repealing and reenacting, without amendments, Article - State Finance and Procurement Section 6-226(a)(2)(i) Annotated Code of Maryland (2021 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - State Finance and Procurement Section 6-226(a)(2)(ii)189. and 190. Annotated Code of Maryland (2021 Replacement Volume and 2023 Supplement) HOUSE BILL 11 BY adding to Article - State Finance and Procurement Section 6-226(a)(2)(ii)191. Annotated Code of Maryland (2021 Replacement Volume and 2023 Supplement)","In Committee","House Environment and Transportation Hearing (14:00:00 1/30/2024 )","01/30/2024"
"MD","HB12","Property Tax Credit - Retail Service Station Conversions","AN ACT concerning Property Tax Credit - Retail Service Station Conversions FOR the purpose of authorizing the Mayor and City Council of Baltimore City or the governing body of a county or municipal corporation to grant, by law, a credit against the county or municipal corporation property tax imposed on real property if use of the real property has been converted from a retail service station to other certain uses; requiring the State to pay to each county or municipal corporation that grants the property tax credit under this Act an amount equal to a certain percentage of certain forgone revenue of the county or municipal corporation; and generally relating to a property tax credit for retail service station conversions. BY adding to Article - Tax - Property Section 9-268 Annotated Code of Maryland (2019 Replacement Volume and 2023 Supplement)","In Committee","House Ways and Means Hearing (13:00:00 1/25/2024 )","01/25/2024"
"MD","HB13","Residential Property - Affordable Housing Land Trusts - Authority to Establish Condominium Regimes","Authorizing a condominium regime to be established on certain land owned by an affordable housing land trust.","Crossed Over","Referred Judicial Proceedings","02/14/2024"
