title,publication_date,domain,topic,topic_summary,x,y,url
DOGE announces its slashing $881m from Education Department contracts,2025-02-11,newsweek.com,0,uncategorized,-13.81706,-5.48476,https://www.newsweek.com/doge-announces-its-slashing-881m-education-department-contracts-live-updates-2029353
"Trump and Musk, the ‘Co-Presidents’",2025-02-19,nytimes.com,0,uncategorized,9.890508,-15.662511,https://www.nytimes.com/2025/02/19/opinion/trump-musk-executive-overreach.html
"Elon Musk shadow looms over Bastrop, Texas. Can it cope with growth?",2025-02-14,usatoday.com,0,uncategorized,21.240904,-0.5822028,https://www.usatoday.com/story/money/personalfinance/real-estate/2025/02/14/elon-musk-tesla-x-twitter-spacex-bastrop-snailbrook-texas-boring-company-growth/78537713007/
Elon Musk Is Leading a ‘Hostile Takeover of the Federal Government’,2025-02-18,nytimes.com,0,uncategorized,11.2439995,-14.702011,https://www.nytimes.com/2025/02/18/opinion/musk-trump-doge-tech.html
Elon Musk is igniting a fierce debate with moves at federal agencies,2025-02-10,usatoday.com,0,uncategorized,9.270676,-16.019339,https://www.usatoday.com/story/news/politics/2025/02/10/elon-musk-federal-agencies-the-excerpt/78384019007/
Elon Musk in the Oval Office,2025-02-12,nytimes.com,0,uncategorized,11.249234,-19.85881,https://www.nytimes.com/2025/02/12/business/dealbook/elon-musk-trump-oval-office.html
A Trump DOGE Dividend Could Raise Inflation,2025-02-20,nytimes.com,0,uncategorized,11.012448,-20.121098,https://www.nytimes.com/2025/02/20/business/dealbook/trump-doge-dividend.html
"Trump and Musk gut USAID. Here's impact on food, health and security.",2025-02-12,usatoday.com,0,uncategorized,-24.334759,-4.602739,https://www.usatoday.com/story/news/world/2025/02/12/usaid-list-spending-trump-musk-global-impact/78404374007/
How DOGE cracked Washington: A focus on arcane agencies gave Musk and his allies swift control of government nerve centers,2025-02-21,cnn.com,1,Elon Musk's Influence in Government,-11.038767,-2.3408096,https://www.cnn.com/2025/02/21/politics/doge-cracked-washington-musk-government-nerve-centers/index.html
Elon Musk Zeroes In on the I.R.S.,2025-02-18,nytimes.com,0,uncategorized,11.115615,-20.018562,https://www.nytimes.com/2025/02/18/business/dealbook/elon-musk-irs-social-security.html
Musk is at DOL. Here’s why that may matter for inflation,2025-02-12,politico.com,0,uncategorized,9.760801,8.891137,https://www.politico.com/newsletters/morning-money/2025/02/12/musk-is-at-dol-heres-why-that-may-matter-for-inflation-00203762
"6 Americans on What They Think of Trump, Elon Musk and Gaza",2025-02-15,nytimes.com,0,uncategorized,10.5208435,-13.055424,https://www.nytimes.com/2025/02/15/us/politics/americans-trump-elon-musk-gaza.html
Elon Musk praises Doge efforts to cut federal workforce after judge ruling – as it happened,2025-02-21,theguardian.com,0,uncategorized,11.844881,-9.624466,https://www.theguardian.com/us-news/live/2025/feb/20/trump-cpac-vance-ukraine-federal-cuts-latest-updates
The Bewildering Irony Behind the Trump-Musk Partnership,2025-02-27,nytimes.com,0,uncategorized,10.7757435,-14.785285,https://www.nytimes.com/2025/02/27/opinion/trump-musk-doge.html
"Trump and Musk Hunt for Corruption, Very Selectively",2025-02-12,nytimes.com,0,uncategorized,9.714262,-11.630111,https://www.nytimes.com/2025/02/12/us/politics/trump-musk-corruption.html
Elon Musk's DOGE update: Five takeaways,2025-02-12,newsweek.com,0,uncategorized,3.14095,-4.1660414,https://www.newsweek.com/elon-musk-doge-update-white-house-2029927
Trump praises Elon Musk as pair repeat familiar criticisms of opponents – as it happened,2025-02-19,theguardian.com,0,uncategorized,-20.113297,1.3912858,https://www.theguardian.com/us-news/live/2025/feb/18/donald-trump-elon-musk-eric-adams-us-politics-live-news
Fast-moving Trump DOGE policies and court challenges leave Justice Department lawyers twisting in the wind,2025-02-15,cnn.com,0,uncategorized,-12.092863,-3.4070306,https://www.cnn.com/2025/02/15/politics/doge-trump-musk-justice-department/index.html
"DOGE is rocking Washington. Wall Street, not so much.",2025-02-14,politico.com,0,uncategorized,9.747364,8.896496,https://www.politico.com/newsletters/morning-money/2025/02/14/doge-is-rocking-washington-wall-street-not-so-much-00204296
How the Trump and DOGE terminations — perhaps the biggest job cuts in history — may affect the economy,2025-02-23,cnbc.com,0,uncategorized,-22.914057,4.624148,https://www.cnbc.com/2025/02/23/how-trump-doge-job-cuts-may-affect-the-us-economy.html
Who is helping DOGE? List of staff revealed,2025-02-12,newsweek.com,0,uncategorized,-7.802944,0.6821834,https://www.newsweek.com/doge-list-staff-revealed-2029965
"Tariffs, immigration and DOGE: What companies are saying about the impact of Trump policies on business",2025-02-17,cnbc.com,0,uncategorized,2.7183268,-9.953801,https://www.cnbc.com/2025/02/17/tariffs-and-doge-what-companies-say-about-the-impact-of-maga-policies.html
How Bill Clinton shrunk the federal government 30 years before DOGE,2025-02-19,newsweek.com,0,uncategorized,2.2321322,-5.4394746,https://www.newsweek.com/how-bill-clinton-shrunk-federal-government-30-years-before-doge-2032893
